target_id,ens_gene,ext_gene,external_transcript_name,fc,b,lrt_qval,wt_qval,Direction
ENSMUST00000120106.8,ENSMUSG00000031565,Fgfr1,Fgfr1-015,0.5962514097672259,-0.5948685787133092,0.019539125009295284,0.020359820162959705,Down
ENSMUST00000202225.1,ENSMUSG00000107275,Gcc2,Gcc2-003,0.6758595109802126,-0.41726361914726406,0.019539125009295284,0.01695987485526233,Down
ENSMUST00000194045.6,ENSMUSG00000032604,Qars,Qars-016,0.26663915338167865,-2.4611373721986025,0.019596505572631286,0.015493231431209176,Down
ENSMUST00000105257.3,ENSMUSG00000020102,Slc16a7,Slc16a7-202,0.588748916105006,-0.48516135305090313,0.01960650825558106,0.015504549580117646,Down
ENSMUST00000058577.4,ENSMUSG00000049504,Proser1,Proser1-001,0.8097893810762182,-0.2108807797064613,0.019632569851866562,0.10510643048053409,Down
ENSMUST00000056900.8,ENSMUSG00000035168,Tanc1,Tanc1-005,0.3335561248691933,-1.6788842824669172,0.019635899307290573,0.015537044727273255,Down
ENSMUST00000117446.7,ENSMUSG00000020415,Pttg1,Pttg1-003,0.6626305193356102,-0.414156004109906,0.019695685792501513,0.015587202848090795,Down
ENSMUST00000144393.7,ENSMUSG00000053483,Usp21,Usp21-011,0.5190077189654535,-0.6966278734367474,0.019769115181098713,0.016481157334667096,Down
ENSMUST00000106547.1,ENSMUSG00000073856,Iqck,Iqck-201,0.18617694747679578,-2.389193037788735,0.019769115181098713,0.015658923362331992,Down
ENSMUST00000201017.1,ENSMUSG00000006641,Slc5a6,Slc5a6-007,0.30448149161454463,-1.989046880411575,0.019778313163516966,0.015671907354347838,Down
ENSMUST00000102575.8,ENSMUSG00000020888,Dvl2,Dvl2-006,0.5959557895858537,-0.5238560378873399,0.01984957927042595,0.025075308590930205,Down
ENSMUST00000142761.1,ENSMUSG00000001642,Akr1b3,Akr1b3-005,0.3149744391228977,-2.118074302965795,0.01984957927042595,0.015760004769118416,Down
ENSMUST00000137181.7,ENSMUSG00000015133,Lrrk1,Lrrk1-005,0.6729242505529932,-0.4398105460509068,0.019868035464641123,0.01684300678573662,Down
